"year","category","birthyear","gender","name"
"1971","literature","1904","M","Pablo Neruda"
"1971","chemistry","1904","M","Gerhard Herzberg"
"1974","peace","1904","M","Seán MacBride"
"1987","chemistry","1904","M","Charles Pedersen"
"1946","chemistry","1904","M","Wendell Stanley"
"1956","medicine","1904","M","Werner Forssmann"
"1959","physics","1905","M","Emilio Segrè"
"1965","literature","1905","M","Mikhail Sholokhov"
"1959","medicine","1905","M","Severo Ochoa"
"1981","literature","1905","M","Elias Canetti"
"1988","medicine","1905","M","George Hitchings"
"1964","literature","1905","M","Jean-Paul Sartre"
"1952","physics","1905","M","Felix Bloch"
"1936","physics","1905","M","Carl Anderson"
"1961","peace","1905","M","Dag Hammarskjöld"
"1945","medicine","1906","M","Ernst Chain"
"1986","physics","1906","M","Ernst Ruska"
"1970","chemistry","1906","M","Luis Leloir"
"1967","physics","1906","M","Hans Bethe"
"1965","physics","1906","M","Sin-Itiro Tomonaga"
"1967","medicine","1906","M","George Wald"
"1975","chemistry","1906","M","Vladimir Prelog"
"1969","medicine","1906","M","Max Delbrück"
"1969","literature","1906","M","Samuel Beckett"
"1973","economics","1906","M","Wassily Leontief"
"1963","physics","1907","M","J. Jensen"
"1977","economics","1907","M","James Meade"
"1951","chemistry","1907","M","Edwin McMillan"
"1973","medicine","1907","M","Nikolaas Tinbergen"
"1949","physics","1907","M","Hideki Yukawa"
"1957","medicine","1907","M","Daniel Bovet"
"1970","physics","1908","M","Hannes Alfvén"
"1956","physics","1908","M","John Bardeen"
"1995","peace","1908","M","Joseph Rotblat"
"1969","medicine","1908","M","Alfred Hershey"
"1962","physics","1908","M","Lev Landau"
"1960","chemistry","1908","M","Willard Libby"
"1958","medicine","1909","M","Edward Tatum"
"1986","medicine","1909","F","Rita Levi-Montalcini"
"1965","medicine","1910","M","Jacques Monod"
"1975","economics","1910","M","Tjalling Koopmans"
"1974","chemistry","1910","M","Paul Flory"
"1964","chemistry","1910","F","Dorothy Hodgkin"
"1991","economics","1910","M","Ronald Coase"
"1952","chemistry","1910","M","Archer Martin"
"1956","physics","1910","M","William Shockley"
"1968","physics","1911","M","Luis Alvarez"
"1989","economics","1911","M","Trygve Haavelmo"
"1955","physics","1911","M","Polykarp Kusch"
"1982","economics","1911","M","George Stigler"
"1988","literature","1911","M","Naguib Mahfouz"
"1964","medicine","1911","M","Feodor Lynen"
"1988","economics","1911","M","Maurice Allais"
"1961","chemistry","1911","M","Melvin Calvin"
"1984","medicine","1911","M","Niels Jerne"
